#EPIC,    ra,        dec,      Kp,   list
60018439, 354.8064375, -0.774825, 10.4, hot_stars
60018441, 1.19568833333, -3.61854333333, 10.4, hot_stars
60018443, 359.199435833, -9.41531277778, 10.41, hot_stars
60018444, 354.606285833, -5.00597361111, 10.41, hot_stars
60018446, 354.31696, -2.92612305556, 10.45, hot_stars
60018449, 2.47747541667, 3.3425225, 10.46, hot_stars
60018450, 359.32229875, 2.66328472222, 10.46, hot_stars
60018454, 352.216777917, -4.09015611111, 10.46, hot_stars
60018455, 355.779941792, -1.64016011111, 10.46, hot_stars
60018459, 359.523615417, -4.40399666667, 10.48, hot_stars
60018464, 0.185340833333, -9.02151055556, 10.49, hot_stars
60018467, 356.912485833, -1.17821583333, 10.5, hot_stars
60018472, 356.545892083, 1.16172888889, 10.51, hot_stars
60018473, 1.44139, 2.69508527778, 10.51, hot_stars
60018477, 1.20546291667, 3.23228666667, 10.53, hot_stars
60018479, 358.381625417, -6.39669694444, 10.53, hot_stars
60018481, 5.10466666667, -0.464805555556, 10.53, hot_stars
60018483, 1.48112083333, -6.29914444444, 10.54, hot_stars
60018490, 358.682285, 0.999786944444, 10.57, hot_stars
60018497, 4.52807333333, -5.97494083333, 10.59, hot_stars
60018498, 5.31898333333, -0.623469444444, 10.6, hot_stars
60018501, 355.4715875, -0.774216666667, 10.6, hot_stars
60018502, 1.64971416667, 3.074595, 10.61, hot_stars
60018507, 5.3677125, -0.215177777778, 10.62, hot_stars
60018516, 358.120855833, 4.80985388889, 10.66, hot_stars
60018517, 359.8802625, -2.60636666667, 10.66, hot_stars
60018520, 356.0300375, -4.18314166667, 10.67, hot_stars
60018521, 2.4326375, -5.56844888889, 10.68, hot_stars
60018522, 356.001810417, -6.50763833333, 10.69, hot_stars
60018524, 357.718608333, -0.159372222222, 10.7, hot_stars
60018526, 356.830635417, -0.731704444444, 10.7, hot_stars
60018530, 1.12428041667, -7.34724472222, 10.71, hot_stars
60018531, 358.2189125, -6.96716944444, 10.72, hot_stars
60018544, 355.0979625, -7.71723055556, 10.75, hot_stars
60018546, 1.81336333333, 2.50181777778, 10.76, hot_stars
60018547, 6.06035083333, -1.45522861111, 10.76, hot_stars
60018550, 5.28029875, 0.178362222222, 10.76, hot_stars
60018552, 0.46275625, 1.56956861111, 10.77, hot_stars
60018558, 352.734354167, -0.502311111111, 10.8, hot_stars
60018559, 1.59063625, 2.32636305556, 10.8, hot_stars
60018560, 358.646716667, -0.895022222222, 10.8, hot_stars
60018563, 356.9867875, -0.0332722222222, 10.8, hot_stars
60018565, 358.6857125, -0.799852777778, 10.8, hot_stars
60018571, 356.591416667, -5.98654444444, 10.83, hot_stars
60018573, 354.335854167, -7.46603333333, 10.83, hot_stars
60018576, 0.785515, -1.82439555556, 10.83, hot_stars
60018579, 357.158798333, -5.47054333333, 10.85, hot_stars
60018586, 355.190716667, 2.02597777778, 10.87, hot_stars
60018587, 355.946844167, -5.10798916667, 10.87, hot_stars
60018588, 357.87656625, -6.60431638889, 10.87, hot_stars
60018598, 359.37767375, -7.32056666667, 10.89, hot_stars
60018601, 359.306530417, -3.80115472222, 10.9, hot_stars
60018604, 356.094683042, 4.35469519444, 10.91, hot_stars
60018605, 355.049180417, 1.95071138889, 10.91, hot_stars
60018608, 1.07585, 3.82631944444, 10.93, hot_stars
60018609, 358.38597125, 0.19616, 10.93, hot_stars
60018610, 357.340885417, -6.58508444444, 10.93, hot_stars
60018612, 5.2710125, -0.252669444444, 10.94, hot_stars
60018618, 1.06005833333, -8.29126666667, 10.96, hot_stars
60018619, 359.250065, 2.90158972222, 10.96, hot_stars
60018620, 0.665654166667, -5.06365555556, 10.96, hot_stars
60018621, 356.704658333, 1.15391388889, 10.96, hot_stars
60018627, 4.341155, -1.77716472222, 10.97, hot_stars
60018629, 356.887550417, 4.47998555556, 10.98, hot_stars
60018630, 354.663037917, -2.46425583333, 10.98, hot_stars
60018634, 0.762675, -3.48879722222, 10.99, hot_stars
